pulse_name,max_price,min_price
Amphophalus,  4400 , 2200 
Bold,  1425 , 900 
Deshi,  1445 , 925 
Hybrid,  1566 , 786 
Local,  1174 , 800 
PCB-138,  1070 , 1020 
Small,  1540 , 1460 
Dara,  1720 , 1000 
Deshi,  1460 , 1302 
Navane Hybrid,  1509 , 1309 
Hybrid Cumbu,  1600 , 1450 
Hybrid,  1400 , 900 
Jowar ( White),  4375 , 661 
Jowar (Yellow),  1760 , 1051 
Jowar Hybrid,  1810 , 651 
Red,  1821 , 1200 
White,  2985 , 1396 
Deshi Red,  1465 , 852 
Deshi White,  1640 , 1420 
Fine,  1425 , 1425 
Hybrid,  1535 , 750 
Hybrid Red (Cattle Feed),  1220 , 1120 
Hybrid Yellow (Cattle Feed),  1450 , 1420 
Hybrid/Local,  1900 , 900 
Local,  1425 , 761 
Medium,  1520 , 900 
Red,  1225 , 925 
Sweet Corn (For Biscuits),  2811 , 2811 
Yellow,  1570 , 770 
1001,  2100 , 1500 
1121,  3450 , 3080 
A. Ponni,  1750 , 1212 
ADT 36,  1930 , 1200 
ADT 37,  1745 , 1050 
ADT 38,  1500 , 1500 
ADT 43,  1980 , 1250 
AST 16,  1900 , 1320 
B P T,  2500 , 1263 
Basmati 1509,  3280 , 2700 
Co. 43,  1650 , 1540 
Common,  1686 , 1300 
Fine,  2450 , 1500 
Hansa,  1681 , 1449 
I.R. 36,  1630 , 1500 
I.R. 64,  1606 , 1229 
Jaya,  1650 , 1400 
MTU-1001,  1400 , 1400 
MTU-1010,  1620 , 1450 
Paddy,  2510 , 1250 
Paddy Coarse,  1650 , 1250 
Paddy Dappa,  1682 , 1682 
Paddy fine,  2500 , 1250 
Paddy Medium,  1810 , 1100 
Pommani,  1500 , 1500 
Ponni,  2360 , 1381 
Samba Masuri,  2051 , 1450 
Sona,  2270 , 1500 
Sona Mahsuri,  1800 , 1339 
Sugandha,  3085 , 2280 
Super Ponni,  1240 , 1140 
SuperFine(Basmati),  3570 , 1600 
Swarna Masuri (New),  1720 , 1400 
White Ponni,  1700 , 1455 
Fine,  2450 , 2300 
Hybrid,  1950 , 1780 
Local,  2406 , 1200 
1009 Kar,  6000 , 2250 
B P T,  4500 , 4300 
Basmati U.P. (Old),  7600 , 7400 
Boiled Rice,  2700 , 2120 
Broken Rice,  2600 , 1200 
Coarse,  3000 , 2100 
Common,  7000 , 1800 
CR 1009 (Coarse) Boiled,  5200 , 3800 
Dappa,  1845 , 1845 
Fine,  6200 , 2400 
Hansa,  2350 , 2200 
III,  2800 , 1800 
IR 20,  3250 , 2860 
IR-8,  2750 , 2400 
Jaya,  3500 , 3200 
Kattasambar,  2900 , 2700 
Masuri,  3200 , 2500 
Medium,  4600 , 2000 
Motta (Coarse) Boiled,  2230 , 1960 
Ratnachudi (718 5-749),  3600 , 3300 
Sanna Bhatta,  2800 , 2400 
Sona,  5300 , 2200 
Sona Fine,  4000 , 3900 
Sona Mansoori Non Basmati,  3000 , 2400 
Super Fine,  6000 , 3600 
Soji,  2700 , 2300 
147 Average,  2080 , 1475 
147 Best,  1850 , 1601 
Bansi,  3500 , 3000 
Dara,  1720 , 1480 
Deshi,  2400 , 1540 
H.D.,  2411 , 1825 
Hybrid,  2000 , 1400 
Local,  3300 , 1600 
Lok-1,  2175 , 1740 
Lokwan,  2165 , 1450 
Lokwan Gujrat,  1750 , 1560 
Maharashtra 2189,  2000 , 1550 
Medium,  2100 , 1300 
Medium Fine,  2600 , 2400 
Mexican,  1600 , 1400 
MP Sharbati,  2205 , 1500 
